note,geometry,amenity,wheelchair,source,name,fixme,addr:city,addr:housenumber,addr:street,operator,historic,website,nodes,addr:housename,addr:postcode,alt_name,branch,brand,brand:wikidata,brand:wikipedia,building,building:levels,building:levels:underground,description,fhrs:id,fhrs:local_authority_id,internet_access,internet_access:fee,internet_access:operator,internet_access:ssid,old_name,tourism,architect,bar,check_date,start_date,wikidata,wikipedia,atm,contact:facebook,contact:instagram,email,opening_hours,phone,smoking,stars,nohousenumber,fhrs:confidence_management,fhrs:hygiene,fhrs:rating,fhrs:structural,loc_name,postal_code,source:postcode,rooms,source:addr,building:material,roof:levels,building:colour,roof:colour,contact:email,contact:linkedin,contact:phone,contact:website,contact:youtube,name:fr,toilets:wheelchair,addr:country,fax,roof:material,roof:shape,name:en,name:ja,survey:date,name:fa,building:architecture,layer,name:zh,source:building,owner,he:inscription_date,heritage,heritage:operator,heritage:website,historic:amenity,historic:name,listed_status,ref:he,fhrs:authority,fhrs:inspectiondate,contact:fax,addr:county,addr:suburb,ref,cuisine,food,outdoor_seating,toilets,toilets:access,official_name,disused:name,disused:tourism,fhrs:name,source:addr:postcode,building:part,contact:twitter,source:rooms,roof:orientation,wheelchair:description,not:addr:postcode,opening_date,ref:GB:uprn,breakfast,source:addr:housenumber,accommodation,indoor_seating,height,air_conditioning,construction,not:brand:wikidata,swimming_pool,ways,type,name:es
,"POLYGON ((-0.1163031 51.5013493, -0.1162796 51.5013864, -0.1161662 51.5015456, -0.1160788 51.5015215, -0.1160688 51.5015347, -0.1161067 51.5015493, -0.116018 51.5016296, -0.1160007 51.5016445, -0.115676 51.5014972, -0.1156202 51.5014674, -0.1155935 51.5014319, -0.1155812 51.5014007, -0.1155879 51.5011597, -0.1156515 51.5011604, -0.1156492 51.501177, -0.1156825 51.5011778, -0.1157084 51.5011784, -0.1157084 51.5011944, -0.1157686 51.5011951, -0.1157731 51.5012291, -0.1158557 51.5012472, -0.115869 51.5012264, -0.1163031 51.5013493))",,,Bing,,,,,,,,,"[1224955036, 1224955037, 1224955039, 1224955044, 1224955046, 1224955047, 5441755952, 1224955049, 1224955050, 1224955051, 1224955052, 1224955053, 1224955055, 1224955057, 1224955059, 5441755950, 1224955061, 1224955063, 1224955065, 1224955066, 1224955069, 1224955070, 1224955036]",,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1669563 51.5511895, -0.1668061 51.551281, -0.1671397 51.5514919, -0.1670794 51.551528, -0.1668972 51.5516371, -0.1669114 51.5516463, -0.1668633 51.5516751, -0.1669182 51.5517106, -0.1669675 51.5516811, -0.1670009 51.5517027, -0.1669633 51.5517252, -0.1670043 51.5517516, -0.1670509 51.5517237, -0.1670597 51.5517294, -0.167292 51.5515903, -0.1674187 51.5515136, -0.1674434 51.5514987, -0.167143 51.5513081, -0.1671262 51.5512974, -0.167053 51.5512509, -0.1670196 51.5512297, -0.1670312 51.551226, -0.1670688 51.551244, -0.1671029 51.5512249, -0.1670739 51.5511941, -0.1670158 51.5511728, -0.1669833 51.551192, -0.1670158 51.5512196, -0.1670123 51.551225, -0.1669563 51.5511895))",,limited,Bing,Premier Inn,,,,Haverstock Hill,,,,"[1233296067, 1233296068, 1233296072, 1233296076, 1233296077, 1233296079, 1233296080, 1233296081, 1233296082, 1233296083, 1233296087, 1233296089, 1233296090, 1233296092, 1233296095, 1965049385, 1233296096, 1965049369, 1233296099, 1233296102, 1233296104, 1233296107, 1233296109, 1233296111, 1233296114, 1233296115, 1233296117, 1233296120, 1233296121, 1233296067]",,NW3 4RB,,,Premier Inn,Q2108626,,hotel,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0758644 51.5139961, -0.0756808 51.5140438, -0.0759803 51.5143571, -0.0760153 51.5143966, -0.0760496 51.5144352, -0.0762294 51.5143733, -0.0758644 51.5139961))",,,,Dorsett City,,London,9,Aldgate High Street,,,,"[1237715536, 1960307193, 1960307067, 1237715539, 5221462552, 1237715540, 1237715536]",,EC3N 1AH,,,,,,hotel,14,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4921287 51.4741842, -0.4918358 51.4741843, -0.4917856 51.4741843, -0.4911553 51.4741846, -0.4911551 51.4740007, -0.4912489 51.4740006, -0.4912488 51.4739092, -0.4910578 51.4739092, -0.4910574 51.4733895, -0.4910568 51.4726814, -0.4912063 51.4726814, -0.4919142 51.4726811, -0.4919144 51.47293, -0.4921263 51.4729299, -0.4921264 51.4730687, -0.4920297 51.4730687, -0.4920297 51.4731819, -0.4921329 51.4731818, -0.4921329 51.4733379, -0.4920277 51.4733379, -0.4920277 51.4734638, -0.4922548 51.4734638, -0.4922548 51.4736204, -0.4920242 51.4736204, -0.4920242 51.473726, -0.4921269 51.473726, -0.492127 51.473894, -0.4920183 51.473894, -0.4920183 51.4740016, -0.4921285 51.4740016, -0.4921287 51.4741842))",,,Bing,Sofitel London Heathrow,,,,,Arora Group,,http://arorahotels.com,"[1240449546, 8278622722, 8278622746, 1240449871, 1240449852, 1240449636, 1240449833, 1240449794, 1240449735, 1240449733, 6738889658, 1240449822, 1240449783, 1240449625, 8278622764, 8278622766, 8278622765, 8278622763, 1240449675, 1240449865, 1240449688, 1240449835, 1240449716, 1240449892, 1240449855, 1240449722, 8278622760, 8278622762, 8278622761, 8278622759, 1240449546]",,,,,Sofitel,,,hotel,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Arora Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0024967 51.5373421, -0.0024962 51.5373634, -0.0024803 51.5373744, -0.0024544 51.5373764, -0.0024447 51.5373817, -0.0024366 51.5373869, -0.0024351 51.5374063, -0.0024209 51.5374164, -0.0023931 51.5374194, -0.0023354 51.5374595, -0.0023019 51.5374831, -0.0022358 51.5374257, -0.0022197 51.5374098, -0.0022571 51.5373793, -0.0022488 51.5373663, -0.0022579 51.5373577, -0.0022664 51.5373497, -0.0022851 51.5373613, -0.0023976 51.5372841, -0.0024967 51.5373421))",,,,The Westbridge Hotel,,,335-337,High Street,,building,,"[1246999088, 9017189426, 9017159650, 9017159649, 1250461548, 9017159647, 9017159648, 9017159652, 9017159651, 2418006924, 1246999129, 1246999430, 1246999224, 1246999341, 1246999250, 9713445582, 1246999169, 1246999068, 1246999108, 1246999088]",,,,,,,,hotel,3,,"Former pub, that has been redeveloped (listed building)",,,,,,,The Log Cabin,,,,,,Q26669918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-07-18,2,Historic England,https://historicengland.org.uk/listing/the-list/list-entry/1390527,pub,The Log Cabin;The Yorkshire Grey,Grade II,1390527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0047115 51.5365155, -0.0047633 51.5365435, -0.0047882 51.5365249, -0.0048253 51.5365437, -0.0049929 51.5364262, -0.004811 51.5363257, -0.0049849 51.5362039, -0.0050251 51.5361757, -0.0049346 51.5361769, -0.0047903 51.5361004, -0.0044631 51.5363324, -0.0044561 51.5363531, -0.0044576 51.5363633, -0.0044615 51.5363772, -0.0044773 51.5363941, -0.0045954 51.5364596, -0.0046005 51.5364553, -0.0047115 51.5365155))",,yes,,Holiday Inn Express - Stratford,,London,196,High Street,,,,"[1601707119, 10282592432, 10282592431, 392391194, 392391200, 1601707133, 1601723253, 1246999050, 1246999225, 1246999269, 10282592437, 10282592438, 5896529435, 10282592433, 10282592436, 10282592434, 10282592435, 1601707119]",,E15 2NE,,London Stratford,Holiday Inn Express,Q5880423,,hotel,7,,,640951,69030/0196/0/000,wlan,no,,,,hotel,,,,,,,,,,,,,no,,,,,,,,,,,,,1,,,,,,https://www.ihg.com/holidayinnexpress/hotels/gb/en/london/lonst/hoteldetail,,,,GB,,,flat,,,,,,,,,,,,,,,,,,Newham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1798197 51.5003182, -0.1797726 51.500127, -0.1796122 51.5001396, -0.1796125 51.500157, -0.1793613 51.5001771, -0.1793807 51.5002714, -0.1795665 51.5002565, -0.1795725 51.5002852, -0.1794725 51.5002932, -0.1794832 51.5003452, -0.1795941 51.5003363, -0.1798197 51.5003182))",,,,The Gore Hotel,,London,190,Queen's Gate,,,http://www.gorehotel.com,"[1317892871, 1317892872, 6050608739, 6050608740, 6050608741, 1317892843, 1317892915, 1317892873, 1317892850, 1317892917, 1322810953, 1317892871]",,,,,,,,hotel,5,,,411581,00507/0190/0/001,wlan,,,,,hotel,,,,,,,,,,,,,,4,,5,0,5,5,,SW7 5EU,FSA Food Hygiene Ratings Database,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.038434 51.5085855, 0.0384233 51.5085605, 0.0383348 51.5085789, 0.0383133 51.5085321, 0.038257 51.5085388, 0.0382328 51.5084904, 0.038324 51.508472, 0.0383133 51.5084503, 0.0387685 51.5083728, 0.0388216 51.5083638, 0.0388149 51.5083485, 0.0388658 51.5083385, 0.0388256 51.5082266, 0.0388578 51.5082216, 0.0388471 51.5081916, 0.0389597 51.5081715, 0.0389731 51.5081982, 0.0390616 51.5081815, 0.0391153 51.5082917, 0.0392065 51.5082734, 0.0392387 51.5083505, 0.0392762 51.5084403, 0.038434 51.5085855))",,limited,,Premier Inn London Docklands (Excel),,London,,Festoon Way,,,,"[1366109739, 1366109796, 1366109759, 1366109734, 1366109726, 1366109765, 1366109760, 1366109740, 9939420294, 1366109769, 1366109763, 1366109732, 1366109757, 1366109729, 1366109755, 1366109742, 1366109785, 1366109789, 1366109794, 1366109741, 1366136672, 1366109762, 1366109739]",,E16 1SJ,,,Premier Inn,Q2108626,,hotel,6,,,,,wlan,customers,Virgin Media,Premier Inn Free Wi-Fi,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1886696 51.502503, -0.1886813 51.5025242, -0.1887229 51.5025152, -0.1887649 51.5026623, -0.1887479 51.5026648, -0.1887492 51.5026737, -0.1885049 51.5027215, -0.188176 51.5027851, -0.188248 51.5029333, -0.1882108 51.502942, -0.1882196 51.5029595, -0.1881055 51.5029906, -0.1879613 51.5030099, -0.1879522 51.5029919, -0.1879313 51.502996, -0.1876963 51.5025301, -0.18772 51.5025254, -0.1877131 51.5025118, -0.1878288 51.5024803, -0.1879702 51.5024615, -0.1879785 51.502478, -0.1880072 51.5024724, -0.18808 51.5026167, -0.1884789 51.5025387, -0.1886696 51.502503))",,,,Royal Garden Hotel,,London,2-24,Kensington High Street,,,,"[1418057548, 1418057655, 1418057724, 1418057562, 1418057671, 1418057579, 1419066361, 1418057684, 1418057511, 1418057618, 1418057699, 1418057636, 1418057534, 1418057641, 1418057428, 1418057689, 1418057659, 1418057451, 1418057475, 1418057593, 1418057674, 1418057494, 1418057609, 1419066328, 1418057548]",,W8 4PT,,,,,,hotel,2,,,,,,,,,,hotel,,,,,Q7374201,en:Royal Garden Hotel,,,,,,,,5,,,,,,,,,,,,,,,,,,http://www.royalgardenhotel.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1596386 51.5021157, -0.1598401 51.502077, -0.1598337 51.502064, -0.1598715 51.5020568, -0.1599102 51.5020494, -0.1599839 51.5020352, -0.1599903 51.5020482, -0.1601948 51.502009, -0.1602374 51.5020008, -0.1603204 51.5019843, -0.1603448 51.5019836, -0.1603904 51.502069, -0.1604264 51.5021366, -0.1604896 51.5021295, -0.1605375 51.502244, -0.1604779 51.5022539, -0.1605281 51.5023981, -0.1604707 51.5024021, -0.1601186 51.5024263, -0.1600544 51.5024307, -0.1599885 51.5024352, -0.1597186 51.5024539, -0.1596397 51.5024593, -0.1595983 51.5023448, -0.1595276 51.502171, -0.1595457 51.5021679, -0.1595323 51.5021361, -0.1595424 51.5021342, -0.159536 51.5021212, -0.1595851 51.5021117, -0.1596322 51.5021027, -0.1596386 51.5021157))",,yes,Survey of 2014-08-29,Mandarin Oriental Hyde Park,,London,66,Knightsbridge,Mandarin Oriental,,https://www.mandarinoriental.com/london,"[3048900141, 3048900138, 3048900137, 3048900136, 3048900135, 3048900133, 3048900134, 3034935395, 3021139101, 3021139099, 5475500553, 5475500557, 3034935396, 3123195840, 3123195858, 3034935398, 3021139132, 3034935402, 3034935404, 3021140733, 3034935408, 3034935417, 3021140734, 3021139129, 3021139120, 3021139118, 3021139111, 3048900143, 3048900142, 3048900140, 3048900139, 3048900141]",,SW1X 7LA,,,,,,hotel,10,,,412942,00987/0066/0/000,wlan,customers,,,,hotel,,,,,Q6747863,"en:Mandarin Oriental Hyde Park, London",,,,,,,no,5,,5,5,5,5,,SW1X 7LA,FSA Food Hygiene Ratings Database,181,,,,,,,,,,,,,GB,,,,,,,,,,,Survey of 2014-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1289396 51.5286387, -0.128716 51.528421, -0.1285821 51.5282905, -0.1284821 51.5283303, -0.1279939 51.5285243, -0.1278085 51.528598, -0.1281385 51.5289193, -0.128166 51.5289461, -0.1289396 51.5286387))",,,,,,,,,,,,"[1454744432, 1454744422, 1454744417, 1454744419, 1454744427, 1454744430, 1454744446, 1454744447, 1454744432]",,,,,,,,hotel,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1132632 51.3570548, -0.1137008 51.3569906, -0.1136552 51.3568694, -0.1134326 51.3569021, -0.113378 51.3567568, -0.1131631 51.3567883, -0.1132632 51.3570548))",,,,Premier Inn Croydon West,,Croydon,619,Purley Way,,,,"[1518940838, 1518940846, 10101213919, 1518940847, 1518940844, 1518940845, 1518940838]",Colonnades,CR0 4RQ,,,Premier Inn,Q2108626,en:Premier Inn,hotel,,,,946663,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-croydon-purley-a23.html,,,,,,,,,,,,,,,,,,,,,,,,,Croydon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0914075 51.3734416, -0.0913449 51.3726129, -0.0910703 51.3726209, -0.0910798 51.3727469, -0.0906704 51.372759, -0.0907129 51.3733223, -0.0911677 51.3733089, -0.0911783 51.3734483, -0.0914075 51.3734416))",,yes,,Croydon Park Hotel,,Croydon,7,Altyre Road,,,,"[1522343394, 1522343427, 1760621873, 1760621875, 1760621876, 1522343402, 1522343360, 1522343367, 1522343394]",,CR9 5AA,,,,,,hotel,6,,,1090573,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,yes,,,,flat,,,,,,,,,,,,,,,,,,Croydon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.0040762 51.5425272, 0.0044106 51.5425351, 0.004418 51.5424127, 0.0046651 51.5424185, 0.0048158 51.542422, 0.0048238 51.5422916, 0.0046755 51.5422887, 0.0046261 51.542287, 0.0046254 51.5422679, 0.0045358 51.5422664, 0.0041239 51.5422594, 0.0040996 51.5422657, 0.004089 51.5422743, 0.0040785 51.5422829, 0.0040683 51.5423013, 0.0040723 51.5423187, 0.0040862 51.5423308, 0.0040762 51.5425272))",,,,Ibis,,London,1a,Romford Road,,,http://www.ibis.com/gb/hotel-3099-ibis-london-stratford/index.shtml,"[1584232718, 1584232737, 1584232729, 2491588837, 1584232720, 1584232739, 2491588849, 1584232727, 1584232733, 2491588997, 1584232716, 2491588945, 7624103687, 1584232735, 2491589017, 2491588985, 2491588821, 1584232718]",,E15 4LJ,,,Ibis,Q920166,en:Ibis (hotel),hotel,4,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1996588 51.6544847, -0.1996212 51.6544096, -0.1995607 51.6544213, -0.1995745 51.6544489, -0.199516 51.6544601, -0.1995397 51.6545076, -0.1996588 51.6544847))",,,,The Bungalow,,,,,,,,"[1601169776, 1601169773, 9545308767, 9545308768, 1601169771, 1601169765, 1601169776]",,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2107103 51.4915664, -0.210699 51.4916123, -0.2106852 51.4916679, -0.2106817 51.4916821, -0.2103323 51.4916486, -0.2103604 51.491533, -0.2107103 51.4915664))",,,Bing;survey,,,London,16-22,Gunterstone Road,,,,"[1609583078, 9221603699, 9221603698, 1609583102, 1609583101, 1609583083, 1609583078]",,W14 9BU,,,,,,hotel,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2231505 51.4972378, -0.2229508 51.4972344, -0.2229347 51.4972416, -0.2228577 51.4973706, -0.223004 51.4974037, -0.223049 51.4974138, -0.2230795 51.4973621, -0.2230844 51.4973541, -0.2230544 51.4973469, -0.2230937 51.4972754, -0.2231458 51.4972774, -0.2231505 51.4972378))",,yes,Bing;photographic_survey,,,,170,Shepherds Bush Road,Youngs,,,"[1618230633, 1618230629, 402392577, 1618230648, 1618230650, 1618230652, 9033769867, 1618230649, 1618230647, 1618230634, 1618230635, 1618230633]",,,,,,,,hotel,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1315133 51.5281239, -0.1313438 51.5279546, -0.1313196 51.5279482, -0.1312811 51.5279473, -0.1304213 51.5282802, -0.1304878 51.5283466, -0.1312522 51.5280505, -0.1313781 51.5281763, -0.1315133 51.5281239))",,,,London Euston Travelodge,,,1-11,Grafton Place,Travelodge,,,"[1643799729, 1643799718, 1643799708, 1643799707, 1643799734, 1643799735, 1643799727, 1643799733, 1643799729]",,,,,Travelodge,Q9361374,en:Travelodge UK,hotel,,,,740227,,wlan,customers,,Travelodge WiFi,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1794414 51.5118006, -0.1794801 51.511886, -0.1794956 51.5119202, -0.1795159 51.5119166, -0.1795312 51.5119505, -0.1795507 51.5119471, -0.1795905 51.5120351, -0.179506 51.5120499, -0.179524 51.5120895, -0.1798636 51.5120303, -0.1798524 51.512006, -0.1798346 51.5120091, -0.1797868 51.5119047, -0.1798006 51.5119022, -0.1797695 51.5118342, -0.1797585 51.5118362, -0.1797201 51.5117519, -0.1796147 51.5117704, -0.1796087 51.511757, -0.1795124 51.5117739, -0.1795184 51.5117871, -0.1794414 51.5118006))",,,Bing;survey,Hapimag London,,London,23-26,Lancaster Gate,,,,"[1672785138, 1672785170, 1672785178, 2879516809, 7005570479, 7005570480, 2879516811, 7005570478, 2879516805, 2879516812, 7005570481, 7005570482, 7005570483, 7005575486, 7005575485, 7005570484, 1672785113, 1672785117, 1672785111, 1672785116, 1672785121, 1672785138]",,,,,,,,hotel,5,,,,,,,,,,,,,,,,,,,,,,+44 20 7298 1900,,,,,,,,,,,,,,0,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1500474 51.4667385, -0.1496349 51.4668145, -0.1495203 51.4665781, -0.1494749 51.4664894, -0.149836 51.4664232, -0.149887 51.4665306, -0.1498131 51.4665461, -0.1498583 51.4666454, -0.1499937 51.4666215, -0.1500474 51.4667385))",,,,Premier Inn Battersea,,London,638,Wandsworth Road,Whitbread Plc,,,"[1726938755, 1726938752, 1726938742, 1726938731, 1726938744, 3813173387, 4876765579, 1726938753, 1726938735, 1726938755]",,SW8 3JW,,,Premier Inn,Q2108626,en:Premier Inn,hotel,6,,,,,,,,,,hotel,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3165442 51.3501628, -0.3164145 51.3501262, -0.3163675 51.350113, -0.3162448 51.3500784, -0.3162229 51.3501087, -0.3162082 51.3501046, -0.3161631 51.3501671, -0.3161802 51.3501719, -0.3159494 51.3504915, -0.3159292 51.3504858, -0.3158991 51.3505275, -0.3158084 51.350502, -0.3157858 51.3505333, -0.3155822 51.3504759, -0.3155518 51.350518, -0.3155189 51.3505636, -0.315554 51.3505735, -0.3152987 51.350927, -0.3153656 51.3509458, -0.3155899 51.351009, -0.3157555 51.3507797, -0.3158893 51.3508174, -0.3159697 51.3507061, -0.3160506 51.3507289, -0.3161135 51.3506418, -0.316175 51.3506591, -0.3162997 51.3504865, -0.3164289 51.3505228, -0.3165669 51.3503318, -0.3164466 51.3502979, -0.3165442 51.3501628))",,,,Chessington Safari Hotel,,,,,IHG,,http://www.holidayinnchessington.co.uk/,"[1736053458, 4212696517, 4212696520, 1736053444, 1736053453, 1736053451, 1736053459, 1736053461, 1736053524, 1736053519, 1736053533, 1736053528, 1736053535, 1736053513, 4212895331, 1736053538, 1736053560, 1736053592, 4212801627, 1736053599, 1736053585, 1736053587, 1736053573, 1736053576, 1736053568, 1736053570, 1736053521, 1736053532, 1736053469, 1736053467, 1736053458]",,,,,,,,hotel,,,,,,yes,yes,,,,hotel,,,,,,,,,,enquiries@holidayinnchessington.co.uk,,+44 844 318 8234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1895602 51.4953518, -0.1895143 51.4954059, -0.1893635 51.4953535, -0.1893748 51.4953409, -0.1892633 51.4953022, -0.1893004 51.4952607, -0.1893639 51.4952827, -0.189398 51.4952946, -0.1895602 51.4953518))",,,,easyHotel London South Kensington,,London,14,Lexham Gardens,,,https://www.easyhotel.com/hotels/united-kingdom/london/south-kensington,"[1783431914, 1783431923, 1783431913, 7668358381, 1783431909, 1783431905, 7668358384, 1783431908, 1783431914]",,W8 5JE,,,easyHotel,Q17011598,en:EasyHotel,hotel,,,,,,,,,,,hotel,,,,,,,,,,,,+44 8439027002,,,,,,,,,,,34,,,,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1637549 51.5165818, -0.1638036 51.516564, -0.1638594 51.5165623, -0.1638438 51.516525, -0.1639146 51.5165103, -0.1638221 51.516298, -0.1637007 51.5163197, -0.1636265 51.5161402, -0.163234 51.5162095, -0.1634275 51.5166137, -0.163475 51.5166055, -0.1634892 51.5166306, -0.1637549 51.5165818))",,,,London Marriott Hotel Marble Arch,,,134,George Street,,,https://www.marriott.co.uk/hotels/travel/lonma-london-marriott-hotel-marble-arch/,"[1814875493, 6373376526, 1825260079, 1825260075, 1814875474, 1814875506, 1814875500, 1814875479, 1814875458, 6373376528, 6373376527, 1825260081, 1814875493]",,,Marriott Marble Arch,,,,,hotel,,,,,,,,,,,hotel,,,,,,,,,,,,,,4,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.121844 51.4915802, -0.1216301 51.4916339, -0.1215596 51.4916516, -0.1210187 51.4915377, -0.1208961 51.491392, -0.1209544 51.491274, -0.121213 51.4911943, -0.1217208 51.4913025, -0.1217755 51.4913533, -0.1219006 51.4914694, -0.121844 51.4915802))",,,,Park Plaza Riverbank,,London,18,Albert Embankment,,,https://www.parkplazariverbank.com,"[5226674862, 2142099669, 1815318270, 1815318263, 1815318265, 1815318269, 1815318281, 2290428022, 5226674861, 1815318318, 5226674862]",,SE1 7TJ,,,Park Plaza,Q2052550,,hotel,9,,,483196,,,,,,,hotel,,,,,,,,,,,,+44333 400 6120,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lambeth,2011-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0948737 51.5243536, -0.0945774 51.5244321, -0.0945023 51.5243169, -0.0945461 51.5243046, -0.0944096 51.5241122, -0.0945839 51.5240695, -0.0946034 51.5240634, -0.094737 51.524256, -0.0947959 51.524241, -0.0948737 51.5243536))",,,,,,London,80,Old Street,,,,"[1871293379, 1871293392, 1871293381, 1871293387, 1871293385, 2955046116, 1871293380, 1871293393, 1871293378, 1871293379]",,EC1V 9AZ,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2913944 51.4663446, -0.291414 51.4663711, -0.2913438 51.4663912, -0.2913717 51.466429, -0.2906987 51.466622, -0.2906771 51.4665929, -0.2905722 51.466623, -0.2906967 51.4667915, -0.2914897 51.4665641, -0.2914728 51.4665413, -0.2915615 51.4665159, -0.2916172 51.4664104, -0.2915382 51.4663034, -0.2913944 51.4663446))",,yes,,Premier Inn,,Richmond,136-138,Lower Mortlake Road,,,,"[1927807435, 10109940073, 10109940072, 10109940071, 10109940069, 10109940070, 1927807429, 1927807428, 1927807436, 1927807437, 1927807434, 1927807430, 1927807433, 1927807435]",,TW9 2JZ,,,Premier Inn,Q2108626,en:Premier Inn,hotel,4,,,509730,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,FHRS Open Data,,,,,,,,,,,yes,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
